"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2019","16","5,681","1,107","213"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2019","26","19,966","4,902","774"
"Alaska","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2019","5","6,647","1,607","316"
"Arizona","722511","Full-service restaurants","All establishments","All establishments","2019","4,323","2,461,093","625,764","116,741"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2019","815","82,053","5,951","1,247"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2019","614","79,187","19,692","4,234"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2019","886","241,480","61,379","12,351"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2019","1,265","811,328","212,057","40,600"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2019","610","842,143","224,029","39,948"
"Arizona","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2019","130","384,086","97,375","17,396"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2019","749","767,696","198,116","35,582"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2019","82","10,203","557","116"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2019","46","6,002","1,391","304"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2019","77","20,224","5,221","1,051"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2019","229","167,534","44,525","7,950"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2019","245","342,110","91,316","16,011"
"Arizona","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2019","67","200,807","49,825","9,185"
"Arizona","722511","Full-service restaurants","S-corporations ","All establishments","2019","1,706","809,686","202,162","37,616"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2019","243","17,410","2,725","501"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2019","316","45,417","11,003","2,205"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2019","458","134,292","33,856","6,464"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2019","531","332,757","83,772","16,181"
"Arizona","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2019","128","188,985","48,328","8,294"
