"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"Arizona","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2020","7","7,149","2,268","422"
"Arkansas","722511","Full-service restaurants","All establishments","All establishments","2020","2,006","599,046","168,658","40,097"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","463","23,332","3,404","763"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","377","38,141","10,628","2,656"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","451","93,539","25,952","6,303"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","530","237,120","66,077","15,940"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","150","151,386","45,247","9,829"
"Arkansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","34","52,740","16,295","4,331"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","425","184,075","53,240","12,798"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","68","4,282","690","137"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","58","7,353","1,930","430"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","75","15,774","4,402","1,127"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","144","61,712","16,884","4,463"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","59","62,313","19,243","4,030"
"Arkansas","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","21","32,641","10,091","2,611"
"Arkansas","722511","Full-service restaurants","S-corporations","All establishments","2020","875","264,919","72,195","16,489"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","135","9,999","1,327","237"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","160","18,904","5,062","1,141"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","255","57,438","15,838","3,523"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","277","127,569","35,043","8,151"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","41","37,942","11,052","2,532"
"Arkansas","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","7","13,067","3,873","905"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2020","333","34,967","10,266","2,966"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2020","157","4,062","747","238"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2020","89","6,027","1,877","609"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2020","54","8,943","2,467","745"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2020","22","7,485","2,217","647"
"Arkansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2020","11","8,450","2,958","727"
"Arkansas","722511","Full-service restaurants","Partnerships","All establishments","2020","362","110,806","31,867","7,622"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2020","100","4,876","631","148"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2020","69","5,826","1,734","471"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2020","64","10,463","3,055","862"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2020","85","39,369","11,642","2,618"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2020","37","40,452","11,419","2,433"
"Arkansas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2020","6","7,032","2,331","815"
"Arkansas","722511","Full-service restaurants","Non-profit","All establishments","2020","9","3,859","950","196"
"Arkansas","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2020","3","921","190","46"
"California","722511","Full-service restaurants","All establishments","All establishments","2020","31,036","11,584,233","4,105,667","647,583"
"California","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2020","7,577","403,067","74,638","13,481"
"California","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2020","5,840","680,962","217,287","39,901"
"California","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2020","7,174","1,730,960","583,375","98,957"
"California","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2020","7,195","3,914,653","1,421,911","221,568"
"California","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2020","2,574","2,997,050","1,137,272","169,992"
"California","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2020","643","1,651,668","596,178","90,426"
"California","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2020","24","126,653","48,671","7,298"
"California","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2020","9","79,220","26,335","5,960"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2020","6,366","3,287,961","1,197,817","190,170"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2020","1,352","79,412","13,832","2,235"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2020","1,021","124,869","40,140","6,946"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2020","1,281","318,886","108,541","17,727"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2020","1,496","840,796","308,404","47,342"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2020","849","1,023,276","382,282","57,640"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2020","353","813,799","312,273","51,612"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2020","8","46,402","16,308","2,592"
"California","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 500 to 999 employees","2020","6","40,521","16,037","4,076"
"California","722511","Full-service restaurants","S-corporations","All establishments","2020","13,517","4,830,274","1,656,860","259,525"
"California","722511","Full-service restaurants","S-corporations","Establishments with less than 5 employees","2020","2,431","156,740","27,951","4,440"
"California","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2020","2,581","337,454","104,384","17,924"
"California","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2020","3,764","969,350","320,770","52,314"
"California","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2020","3,780","2,071,278","729,689","114,303"
"California","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2020","845","976,310","358,650","54,254"
"California","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2020","111","278,954","103,735","14,416"
"California","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2020","4","23,751","8,079","1,203"
